date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Danish Krone,DKK,208,Yen,JPY,392,22.08,21.48,21.78
2025-01-07,Danish Krone,DKK,208,Yen,JPY,392,22.33,21.73,22.03
2025-01-08,Danish Krone,DKK,208,Yen,JPY,392,22.22,21.62,21.92
2025-01-09,Danish Krone,DKK,208,Yen,JPY,392,22.18,21.58,21.88
2025-01-10,Danish Krone,DKK,208,Yen,JPY,392,22.13,21.53,21.83
2025-01-14,Danish Krone,DKK,208,Yen,JPY,392,21.94,21.34,21.64
2025-01-15,Danish Krone,DKK,208,Yen,JPY,392,22.13,21.53,21.83
2025-01-16,Danish Krone,DKK,208,Yen,JPY,392,21.88,21.28,21.58
2025-01-17,Danish Krone,DKK,208,Yen,JPY,392,21.74,21.14,21.44
2025-01-20,Danish Krone,DKK,208,Yen,JPY,392,21.81,21.21,21.51
2025-01-21,Danish Krone,DKK,208,Yen,JPY,392,22.,21.4,21.7
2025-01-22,Danish Krone,DKK,208,Yen,JPY,392,22.03,21.43,21.73
2025-01-23,Danish Krone,DKK,208,Yen,JPY,392,22.13,21.53,21.83
2025-01-24,Danish Krone,DKK,208,Yen,JPY,392,22.13,21.53,21.83
2025-01-27,Danish Krone,DKK,208,Yen,JPY,392,22.14,21.54,21.84
2025-01-28,Danish Krone,DKK,208,Yen,JPY,392,22.02,21.42,21.72
2025-01-29,Danish Krone,DKK,208,Yen,JPY,392,22.06,21.46,21.76
2025-01-30,Danish Krone,DKK,208,Yen,JPY,392,21.92,21.32,21.62
2025-01-31,Danish Krone,DKK,208,Yen,JPY,392,21.79,21.19,21.49
2025-02-03,Danish Krone,DKK,208,Yen,JPY,392,21.62,21.02,21.32
2025-02-04,Danish Krone,DKK,208,Yen,JPY,392,21.78,21.18,21.48
2025-02-05,Danish Krone,DKK,208,Yen,JPY,392,21.73,21.13,21.43
2025-02-06,Danish Krone,DKK,208,Yen,JPY,392,21.56,20.96,21.26
2025-02-07,Danish Krone,DKK,208,Yen,JPY,392,21.35,20.75,21.05
2025-02-10,Danish Krone,DKK,208,Yen,JPY,392,21.3,20.7,21.
2025-02-12,Danish Krone,DKK,208,Yen,JPY,392,21.58,20.98,21.28
2025-02-13,Danish Krone,DKK,208,Yen,JPY,392,21.83,21.23,21.53
2025-02-14,Danish Krone,DKK,208,Yen,JPY,392,21.73,21.13,21.43
2025-02-17,Danish Krone,DKK,208,Yen,JPY,392,21.66,21.06,21.36
2025-02-18,Danish Krone,DKK,208,Yen,JPY,392,21.6,21.,21.3
2025-02-19,Danish Krone,DKK,208,Yen,JPY,392,21.6,21.,21.3
2025-02-20,Danish Krone,DKK,208,Yen,JPY,392,21.43,20.83,21.13
2025-02-21,Danish Krone,DKK,208,Yen,JPY,392,21.37,20.77,21.07
2025-02-25,Danish Krone,DKK,208,Yen,JPY,392,21.37,20.77,21.07
2025-02-26,Danish Krone,DKK,208,Yen,JPY,392,21.31,20.71,21.01
2025-02-27,Danish Krone,DKK,208,Yen,JPY,392,21.27,20.67,20.97
2025-02-28,Danish Krone,DKK,208,Yen,JPY,392,21.16,20.56,20.86
2025-03-03,Danish Krone,DKK,208,Yen,JPY,392,21.32,20.72,21.02
2025-03-04,Danish Krone,DKK,208,Yen,JPY,392,21.28,20.68,20.98
2025-03-05,Danish Krone,DKK,208,Yen,JPY,392,21.65,21.05,21.35
2025-03-06,Danish Krone,DKK,208,Yen,JPY,392,21.91,21.31,21.61
2025-03-07,Danish Krone,DKK,208,Yen,JPY,392,21.71,21.11,21.41
2025-03-10,Danish Krone,DKK,208,Yen,JPY,392,21.77,21.17,21.47
